,artist,song,genre,lyrics
29,nicki minaj featuring drake,moment 4 life,R_and_B,"[Nicki Minaj]
I fly with the stars in the skies
I am no longer trying to survive
I believe that life is a prize
But to live doesn't mean you're alive
Don't worry bout me and who I fire
I get what I desire, it's my empire
And yes I call the shots I am the umpire
I sprinkle holy water upon a vampire
In this very moment I'm king
In this very moment I slay Goliath with a sling
This very moment I bring, put it on everything
That I will retire with the ring
And I will retire with the crown, Yes!
No I'm not lucky I'm blessed, Yes!
Clap for the heavyweight champ, Me!
But I couldn't do it all alone, We!
Young Money raised me,grew up out in Baisley
Southside Jamaica, Queens and it's crazy
Cause I'm still hood, Hollywood couldn't change me
Shout out to my haters, sorry that you couldn't faze me
Ain't being cocky, we just vindicated
Best believe that when were done, this moment will be syndicated
I don't know...this night just reminds me of
Everything that they deprived me of, KUH!!
P-p-p-p-p-put ya drinks up,
It's a celebration, every time we link up
We done did everything, they can think of
Greatness, is what we on the brink of

[Hook x2]
I wish that I could have this moment for life, for life, for life
Cause in this moment I just feel so alive, alive, alive

[Drake]
Yeah
Yeah
Yeah, ugh
What I tell ‘em hoes bow bow bow to me, drop down to ya knees
Young Money the Mafia that's word to Lil Cease
I'm in The Dominican Big Papi Ortiz
Doing target practice, all these girls just aiming to please
Shoutout to the CEO 500 degrees
Shoutout to the OVO, red wings and fatigues, oooow
Niggas wanna be friends how coincidental
This supposed to be y'all year, we ain't get the memo
Young King, pay me in gold
40 got a bunch of weed he ain't even roll
These niggas be droppin songs they ain't even cold
Weezy on top and that person ain't even home, yet!
Yeah, be very afraid
These other rappers getting bodied and carried away
kick it me and Nicki Nick gettin' married today
And now you people that be hatin' can catch the bouquet, oww
Yeah, you a star in my eyes, you and all them white girls party of five
Are we drinking a lil more I can hardly decide
I can't believe we really made it I'm partly surprised, I swear
Darn, this one for the books, man!
I swear this stuff is as fun as it looks, man!
I'm really tryna make it more than what it is
Cause everybody dies but not everybody lives!

[Hook x2]

[Nick Minaj]
This is my moment, I waited all my life I can tell it's time
Drifting away I'm one with the sunsets, I have become alive

[Hook x2]"
30,chris brown featuring lil wayne & busta rhymes,look at me now,R_and_B,"[Chris Brown]
I don't see how you can hate 
From outside the club you
Can't even get in, Leggo

Yellow model chick
Yellow bottle sipping
Yellow Lamborghini
Yellow top missing
Yeah yeah
That shit look like a toupee

I get what you get in 10 years, in two days
Ladies love me
I'm on my cool J
If you get what I get fuck what you say
She wax it all off, Mr Miyagi
And them suicide doors, Hari Kari

[Hook]
Look at me now, look at me now
Oh, I'm getting paper
Look at me now
Oh, look at me now
Yeah, fresh than a muthafucker

Lil nigga bigger than gorilla
Cause I'm killing every nigga that
Try to be on my shit
Better cuff your chick if you with her
I can get her
And she accidentally slip and fall on my dick
Ooops, I said on my dick
I aint really mean to say on my dick
But since we talking about my dick
All of you haters say hi to it
I'm Done

[Busta Rhymes]
Ayo Breezy
Let me show you how to keep the dice rolling
When your doing that thing over there, homie
Lets go
Cause I feel like I'm running
And I'm feeling like I gotta get away, get away, get away
Better know that I don't and I won't ever stop cause
You know I gotta win everyday day, goooo
See they don't ever really wanna pop me
Just know that you never flop me
And I know that I can be a little cocky, nooo
You aint never gonna stop me
Everytime I come a nigga gotta set it then I gotta go 
And then I gotta get it, than I gotta blow, 
Than I gotta shudder any little thing
A nigga think that he be doing cause it doesn't matter cause I'm gonna 
Dadadadada then I'm gonna murder every thing and anything a badaboom a badabing I gotta do a lot of things, and make it clearer to a couple niggas
That I'm always winning and I gotta get it again and again and again
And I be doing it to death and now I move a little foul
A nigga better call a rep and everybody know my style
And niggas know that I'm the the best
When it come to doing this and I'm banging on my chest
And I bang in the east and I bang in the west
And I come to give you more and I never give you less
You will hear it in the street or you can read it in the press
Do you really wanna know what's next, lets go
See the way we on, we be all up in the race and you know
We gotta go, don't try to keep up with the pace
We struggling and hustling and sending in and getting in
And always gotta do it take it to another place
Gotta taste it and I gotta grab it
And I gotta cut all through this traffic
Just to be at the top of the throne
Better know I gotta have it, have it

[Hook]
Look at me now, look at me now
Oh, I'm getting paper
Look at me now
Oh, look at me now
Yeah, fresh than a muthafucker

[Lil Wayne]
Man fuck these bitch ass niggas how yall doin?
I'm Lil Tunechi, I'm a nuisance, I go stupid, I go dumb like the 3 stooges
I don't eat sushi, I'm the shit, no I'm pollution, no substitution
Got a bitch that play in movies in my jacuzzi, pussy juicy
I never gave a fuck about a hater got money on my radar
Dress like a skater, got a big house, came with a elevator
You niggas aint eatin, fuck it, tell a waiter
Marley said shoot em, and I said ok, 
If you wanted bullshit then I'm like olay, 
I don't care what you say, so don't even speak
Your girlfriend a freak like Cirque Du Soleil
That's word to my flag, and my flag red
I'm out of my head, bitch I'm outta my mind from the bottom I climb
You aint hotter at mine, nope, not on my time and I'm not even trying
What's poppin Slime? nothin five, and if they trippin fuck em five
I aint got no time to shuck and jive, these niggas as sweet as pumpkin pie
Ciroc and sprite on a private flight
Bitch I've been tight since guiding light, and my pockets rite and my diamonds white
And my mommas nice and my daddy's dead
You faggots scared cause I'm too wild, been here for a while
I was like fuck trial I puts it down
I'm so young money if you got eyes look at me now bitch

[Hook]
Look at me now, look at me now
Oh, I'm getting paper
Look at me now
Oh, look at me now
Yeah, I'm fresher than a muthafucker

Okay, Okay, Is that right, I'm fresher than a muthha Fukka.!"
31,miguel,sure thing,R_and_B,"Love you like a brother
Treat you like a friend
Respect you like a lover

You could bet that
Never gotta sweat that(x4)

If you be the cash
I'll be the rubberband
You be the match
Imma be your fuse
Boom!
Painter baby you
Could be the muse
I'm the reporter baby
You could be the news
Cause your the cigarrette
And I'm the smoker
We raise a bet...
Cause your a joker
Truth tho...
You are the chalk
And I could be the blackboard
And you can be the talk
And I could be the walk

Even when the sky comes falling
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
Even when we're down to the wire babe
Even when it's do or die
We can do it baby simple and plain
This love is a sure thing

You could bet that
Never got to sweat that(x4)

You could be the lover
I'll be the fighter babe
If I'm the blunt
You could be the lighter babe
Fire it up!
Writer babe
You could be the quote
If I'm the lyric baby
You could be the note
Record that!
Saint, I'm a sinner
Prize, I'm a winner
And it's you
What can I do to deserve that
Paper baby
I'll be the pen
Say that I'm the one
Cause you are a ten

Even when the sky comes fallin
Even when the sun don't shine
I got faith in you and I
So put your pretty lil hand in mine
Even when were down to the wire baby
Even when it's do or die
We can do it babe simple and plain
Cause this love is a sure thing

[Rock wit me baby
Let me hold you in my arms
Talk to with me baby(x2)]

This love
Between you and I
As simple as pie baby
Such a sure thing(x2)
Oh is it a sure thing

Even when the sky comes fallin
Even when the sun don't shine
I got faith in you and I
So put your pretty little hand in mine
Even when we're down to the wire babe
Even when it's do or die
We can do it baby simple and plain
This love is a sure thing

Love you like a brother
Treat you like a friend
Respect you like a lover"
32,kelly rowland featuring lil wayne,motivation,R_and_B,"Go, go, go, go
Go, go, go, go
Turn the lights on

[Kelly Rowland]
Oh lover, don't you dare slow down
Go longer, you can last more rounds
Push harder, your almost there now
So go lover, make mama proud
And when were done, I don't wanna feel my legs
And when were done, I just wanna feel you're hands all over me baby
You can't stop there, music still playin in the background
And you're almost there
You can do it, I believe in you baby
So close from here

So baby I'mma be your motivation
Go, go, go, go
Motivation
Go, go, go, go

Oh Lover, when you call my name
No other, can do that the same no
Won't let ya get up out of the game no
So go lover, don't it make me rain

And when were done, I don't wanna feel my legs baby
And when were done, I just wanna feel you're hands all over me baby
You can't stop there, music still playin in the background
And you're almost there
You can do it, I believe in you baby
So close from here

So baby I'mma be your motivation
Go, go, go, go
Motivation
Go, go, go, go

[Lil Wayne]
Uh, girl I turn that thing into a rainforest
Rain on my head, call that brainstorming
Yeah this is deep, oh but, I go deeper
Make you lose yourself, and finders keepers
It go green light, go Weezy go
I like to taste that sugar, that sweet and low
But hold up wait, new position
I put her on my plate then I do the dishes
She my motivation, I'm her transportation
Cause I let her ride, while I drive her crazy
Then I just keep going going, like I'm racing
When I'm done she hold me like a conversation
Weezy, baby

[Kelly Rowland]
And when were done, I don't wanna feel my legs
And when were done, I just wanna feel you're hands all over me baby
But You can't stop there, music still playin in the background
And you're almost there
You can do it, I believe in you baby
So close from here

Baby I'mma be your motivation

Go, go, go, go
Go, go, go, go"
33,"dj khaled featuring drake, rick ross & lil wayne",i'm on one,R_and_B,"(Get em on)
I'm on one
(Get em on)
I'm on one
(Get em on)
I said I'm on one

[Drake]
I'm getting so cold
I aint work this hard since I was 18
Apologise if I say, anything I don't mean
Like what's up with your best friend?
We could all have some fun, believe me
And what's up with these new niggas?
And why they think it all comes so easy

But get it while you here boy
Cause all that hype don't feel the same next year boy
Yeah and I'll be right here in my spot with a little more cash than I
Already got
Trippin off you cause you had your shot
With my skin tanned and my hair long
And my fans who been so patient, me and 40 back to work but we still smell
Like a vacation
Hate the rumours, hate your bullshit
Hate these fucking allegations, I'm just feeling like the throne is for the
Taking
Watch me take it! 

[Drake - Chorus]
All I care about is money and the city that I'm from
I'ma sip until I feel it, I'ma smoke it till it's done
And I don't really give a f-ck, and my excuse is that I'm young
And I'm only getting older so somebody shoulda told ya

I'm on one
Yeah, f-ck it, I'm on one
Yeah, I said I'm on one
F-ck it, I'm on one

Two white cups and I got that drink
Could be purple, it could be pink
Depending on how you mix that shit
Money that we got, never get that shit

Cause I'm on one
I said fuck it I'm on one

[Rick Ross]
I'm burning purple flowers
It's burning my chest
I bury the most cash and burning the rest
Walking on the clouds, suspended in thin air
Do ones beneath me recognise the red bottoms I wear
Burner in the belt
Move the kids to the hills (BOSS)
Bend shawty on the sink, do it for the thrill
Kiss you on ya neck and tell ya everything is great
Even though I out on bond I might be facin' 8′s
Still running with the same niggas til the death of me
Ever seen a million cash, gotta count it carefully
Ever made love to the woman of your dreams
In a room full of money out in London and she screams
Baby, I could take it there
Call Marc Jacobs personally to make a pair
So yeah, we on one, the feeling ain't fair (Khaled)
And it's double M G until I get the chair

[Drake - Chorus]
All I care about is money and the city that I'm from
I'ma sip until I feel it, I'ma smoke it till it's done
And I don't really give a f-ck, and my excuse is that I'm young
And I'm only getting older so somebody shoulda told ya

[Lil Wayne]
I walk around the club, f-ck everybody
And all my niggas got that Heat I feel like Pat Riley
Yeah, too much money, aint enough money
You know the feds listening, nigga what money?
I'm a made nigga
I should dust something
You niggas on the bench
Like the bus coming
Huh, aint nothing sweet but the swishas
I'm focused might aswell say cheese for the pictures
Ohhh, I'm about to go Andre the Giant
You a sell out, but I aint buying
Chopper dissect a nigga like science
Put an end to the world like Mayans
This a celebration bitches, Mazel Tov
It's a slim chance I fall, olive oil
Tunechi be the name, don't ask me how I got it
I'm killin' these hoes I swear I'm tryna stop the violence

[Drake - Chorus]
All I care about is money and the city that I'm from
I'ma sip until I feel it, I'ma smoke it till it's done
And I don't really give a f-ck, and my excuse is that I'm young
And I'm only getting older so somebody shoulda told ya

Two white cups and I got that drink
Could be purple, it could be pink
Depending on how you mix that shit
Money that we got, never get that shit

Cause I'm on one
I said fuck it I'm on one"
34,big sean featuring kanye west & roscoe dash,marvin & chardonnay,R_and_B,"[Chorus:]
Early in the morning
When she's all alone
I'mma take my time
Do it how we want it
Just to set the mood, girl I bought some Marvin Gaye and Chardonnay

Hold up, Hold up, Hold up, Hold up, Hold up
Yeaaah

She love the way I'm doing it
So good she wont put my tattoo on it
Bottom line is, you the finest
Gave you a new name (what's that, what's that, what's that?)
My bitch
Hold up, hol' up, woah there
Lets capture this moment if I? Than I own it
? Want it every mornin'
And Patronin' girl, we grownin'
Waddup, got me feeling like a kid with the street lights on
Street lights on?
You know I got it going til it's...

[Chorus:]
Early in the morning
When she's all alone
I'mma take my time
Do it how we want it
Just to set the mood, girl I bought some Marvin Gaye and Chardonnay
Just let the song play
The long way
The strong way
It's our day
It's our way
This was all inspired by a little Marvin Gaye and Chardonnay

[Kanye West]
Hold up, Hold up, Hold up, Hold up, Hold up, Hold up, Hold up
Talk to the, talk to the hand
You talking to a grown ass man
It's like, way way way too much in your pants for us not to make the bed
Squeak
(There goes the bed sheets)
Err'ybody rip the swag off
'Fore I rip the tag off
Why my pants sag off, cause I'm rappin' my ass off
Flow so ugly, money so handsome
This the f-cking anthem, get it, the f-cking anthem

[Chorus:]

[Kanye West]
I don't really wanna uhh... Talk too much
But you love it when I talk like I lost it
And I love how you look when ya blazin'
And I swear you turn at least half asian
And we 'bout to have a liason
She cool, get head with her shades on
You should just go and throw a cape on
And it's just so amazing
So amazing
So amazing

[Big Sean]
Take it to the car, bloop, bloop, that shit look like I'm speed racing
Leave em with me, it'll boost your reputation
Westside is where I'm stationed
Spend all night, just champagne tasting
Aint no rest girl, lets just pace it til its...

[Chorus:]"
35,lil wayne featuring drake,she will,R_and_B,"Lil Wayne:
I tell her now gon and pop that pussy for a real nigga
I already know that life is deep but I still dig her
Niggas jealous but I could care less
I'm in hells kitchen with an apron and a hairnet
Devil on my shoulders the lord is my witness
So on my Libra scale I'm weighing sins and forgiveness
What goes around comes around like a hula hoop
Karma is a bitch but just make sure that bitch is beautiful
Life on the edge I'm dangling my feet
I tried to pay attention but attention paid me
Haters can't see me nosebleed seats
And today I went shopping and talk is still cheap
I rock to the beat of my drumset
I've been at the top for a while and I aint jumped yet
But I'm Ray Charles to the bullshit
Now jump on that dick and do a full split

Chorus Drake:
He just started to pop it for a nigga then looked back and told me baby it's
Real
And I say I aint doubt you for a second I squeeze it and I can tell how it
Feels
I wish we could take off and go anywhere but here baby you know the deal
She bad so maybe she wont uh but shit then again maybe she will
Yeah do it for the realest niggas in the fuckin game right now she will 2x
Maybe for the money and the power and the fame right now she will
Do it for the realest niggas in the fuckin game right now she will.

Wayne:
I tell her now gon and pop that pussy for me
Haters can't see me but them bitches still looking for me
You can take that to the bank and deposit that
Put your two cents in and get a dollar back
Some people hang you out to dry like a towel rack
I'm all about ""I"" give the rest of the vowels back
I like my girl thick not just kinda fine
Eat her till she cry call it wine and dine
Try to check me and ima have em checkin poses
They say choose wisely that's why I was chosen
Rockin like asphalt it's the cash fault
Looked in the face of death and took it's mask off
Now I like my house big and my grass soft
I like my girl face south and her ass north
But I'm Ray Charles to the bullshit
Jump up on that dick and do a full split

Chorus 4x"
36,jay z  kanye west,ni**as in paris,R_and_B,"[Jay-Z]
So I ball so hard muhfuckas wanna fine me
But first niggas gotta find me
What's 50 grand to a muhfuckaa like me
Can you please remind me?
This shit crazy
Ya'll don't know that don't shit phase me
The Nets could go 0-82 and I look at you like this shit gravy Ball so hard,
This shit weird
We ain't even spose to be here,
Ball so hard, Since we here
It's only right that we be fair
Psycho, I'm liable to be go Michael
Take your pick, Jackson, Tyson, Jordan, Game 6
Got a broke clock, Rolleys that don't tick tok
Audemars that losing time, Hidden behind all these big rocks I'm shocked
Too, I'm supposed to be locked up too
If you escaped what I've escaped
You'd be in Paris getting fucked up too
Let's get faded, Le Meurice for like 6 days
Gold bottles, scold models, Spillin' Ace on my sick J's
Bitch behave, Just might let you meet Ye,
Chi towns D. Rose, I'm movin' the Nets to bk

[Hook:]
Ball so hard muhfuckas wanna fine me
That shit crazy (x6)

[Kanye West]
She said Ye can we get married at the mall?
I said look you need to crawl 'fore you ball
Come and meet me in the bathroom stall
And show me why you deserve to have it all
That shit crazy, Ain't it Jay?
What she order, fish filet
Your whip so cold, this old thing Act like you'll ever be around muhfuckas
Like this again
Bougie girl, grab her hand
Fuck ol girl she don't wanna dance
Excuse my French but I'm in France (I'm just sayin)
Prince William's ain't do it right if you ask me
Cause if I was him I would have married Kate &a Ashley
What's Gucci my nigga?
What's Louie my killa?
What's drugs my deala?
What's that jacket, Margiela?
Doctors say I'm the illest
Cause I'm suffering from realness
Got my niggas in Paris
And they going gorillas, huh!

[Jay-Z]
Ball so hard muhfuckas wanna fine me
Ball so hard muhfuckas wanna fine me

[Kanye West]
You are now watching the throne
Don't let me get in my zone (x3)
These other niggaas is lyin
Actin' like the summer ain't mine

[Jay-Z]
I got that hot bitch in my home

[Kanye West]
You know how many hot bitches I own
Don't let me in my zone (x4)
The stars is in the building
They hands is to the ceiling
I know I'm bout to kill it
How you know, I got that feeling
You are now watching the throne
Don't let me into my zone (x2)

[Jay-Z & Kanye West]
I'm definitely in my zone"
38,drake featuring nicki minaj,make me proud,R_and_B,"[Drake]
I like a woman with a future and a past
A little attitude problem, all good it'll make the sh--- last
Don't make it too easy girl, don't take it too fast
Yeah, that's it, right there, that's it
Do it just like that
Only you could do it just like that
And I love it when your hair's still wet
Cause you just took a shower
Runnin' on the treadmill, & only eatin salad
Sounds so smart, like you graduated college
Like you went to Yale, but you probably went to Howard knowin' you
Weekend in miami, tryna study by the pool
Couple things due, but you always get it done
Mighta been a time when I loved her too
But you take that away, you'llalways been the one
One, I wonder why the moon looks nice girl
Maybe it's just right for the night
You said nig... Comin' on too strong girl
They want you in their life as a wife
That's why you wanna have no s**
Why you wanna protest, why you wanna fight for your right
Cause you don't love them boys, pus... Run everything
Fu that noise

[Hook:]
I know things get hard
But girl you got it, girl you got it there you go
Can't you tell by how they're looking at you everywhere you go
Wondering what's on your mind, it must be hard to be that fine, when all these mutha... Wanna waste your time
It's just amazing, girl, and all I can say is...

I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as f... And you

[Nicki Minaj]
B-b-b-bad I am
All of them bitches I'm badder then
Mansions in Malibu babblin
And I never mention everything I dabble in
And I always ride slow when I'm straddlin'
And my shit's so wet you gotta paddle in
Gotta ro-ro-row, gotta row ya boat
It's Pink Friday Records and ovo
Done did the pop tour, I'm the realest deal,
Best legal team so the deal is I'll
It's Mac, opi and a fragrance too
Apparal, I'm dominating every avenue
Copple stone, good view, lil gravel too
Gotta pay for the entourage travel too
Cause I'm fl-fl-fly, I'm flying high
Aint got time to talk, just Hi and bye, bitch
Baby you can ask me to take a break
I'll give it all away, don't care what the people say
I'll be a million, billion, trillion miles away
He asked my sign, I said a Sag'
I'm a star, Sheriff badge,
What's the point? If I'm guardin'
Double D up hoes, Dolly Parton

[Drake]
I know things get hard
But girl you got it, girl you got it there you go
Can't you tell by how they're looking at you everywhere you go
Wondering what's on your mind, it must be hard to be that fine, when all these mutha... Wanna waste your time
It's just amazing, girl, and all I can say is...

I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as f... And you know you are

I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
I'm so, I'm so, I'm so, I'm so,
I'm so proud of you
Everything's adding up, you've been through hell and back
That's why you're bad as f... And you know you are"
39,drake featuring lil wayne,the motto,R_and_B,"I'm the fuckin man, you don't get it do ya?
Type of money everybody acting like they knew ya
Go Uptown, New York City bitch
Some Spanish girls love me like I'm Aventura
Tell Uncle Luke I'm out in Miami too
Clubbing hard, fuckin women ain't much to do
Wrist blang, got a condo up in Biscayne
Still getting brain from a thang, ain't shit changed
How you feel? How you feel? How you feel?
Twenty five sittin on 25 mil uhh
I'm in the building and I'm feeling myself
Rest in peace Mac Dre, I'mma do it for the Bay, okay
Getting paid well holla whenever that stop
My team good, we don't really need a mascot
Tell Tune ""light one, pass it like a relay""
Ymcmb you niggas more ymca
Me, Freddie, Marley Marl at the cribbo
Shout goes out to Niko, Jay and Chubbo, shout to Gibo
We got Santa Margarita by the liter
She know even if I'm fuckin with her, I don't really need her
Aohhh, That's how you feel man?
That's really how you feel?
Cause the pimpin ice cold, all these bitches wanna chill
I mean maybe she won't
Then again maybe she will
I can almost guarantee she know the deal
Real nigga what's up?
[Drake]
Now she want a photo
You already know though
You only live once: that's the motto, nigga yolo
We bout it every day, every day, every day
Like we sittin on them bench, nigga we don't really play
Every day, every day, fuck what anybody say
Can't see em cause the money in the way
Real nigga, what's up?
[Lil Wayne]
One, time fuck one time
I'm calling niggas out like the umpire
Seven, grams in the blunt
Almost drowned in her pussy so I swam to her butt
It's Eastside, we in this bitch
Wish a nigga would like a tree in this bitch
And if a leaf fall put some weed in that bitch
That's my mo add a B to that shit
I'm fucked up, torn down
I'm twisted: door knob
Talk stupid, off with your head!
Nigga money talks and Mr. Ed!
I'm so Young Money got a drum on the gun
Energizer bunny
Funny how honey ain't sweet like sugar
Ain't shit sweet niggas on the street like hookers
I tongue kiss her other tongue
Skeet skeet skeet: water gun
Oh my God, Becky, look at her butt! Tunechi
[Drake]
Now she want a photo
You already know though
You only live once: that's the motto, nigga yolo
We bout it every day, every day, every day
We sittin on them bench, but we don't really play
Every day, every day, fuck what anybody say
Can't seem em cause the money in the way
Real nigga what's up what's up what's up"
40,beyonce,love on top,R_and_B,"Bring the beat in! 

Honey, Honey
I can see the stars all the way from here
Can't you see the glow on the window pane?
I can feel the sun whenever you're near
Every time you touch me I just melt away

Now everybody ask me why I'm smiling out from ear to ear.
(They say love hurts)
But I know
(It's gonna take the real work) oh 
Nothing's perfect, but it's worth it after fighting through my fears
And finally you put me first

Baby it's you.
You're the one I love.
You're the one I need.
You're the only one I see.
Come on baby it's you.

You're the one that gives it all.
You're the one I can always call.
When I need you make everything stop.
Finally you put my love on top.

Ooo! Come on Baby.
You put my love on top, top, top, top, top.
You put my love on top.
Ooo Ooo! Come on baby.
You put my love on top, top, top, top, top.
My love on top.
My love on top.

Baby, baby
I can hear the wind whipping past my face.
As we dance the night away.
Boy your lips taste like a night of champagne.
As I kiss you again, and again, and again and again.

Now everybody ask me why I'm smiling out from ear to ear.
(They say love hurts)
But I know
(It's gonna take the real work)
Nothing's perfect, but it's worth it after fighting through my tears.
And finally you put me first.

Baby it's you.
You're the one I love.
You're the one I need.
You're the only one I see.
Come on baby it's you.
You're the one that gives it all.
You're the one I can always call.
When I need you make everything stop.
Finally you put my love on top.

Ooo! Baby.
You put my love on top, top, top, top, top.
You put my love on top.
Ooo Ooo! Come on baby.
You put my love on top, top, top, top, top.
My love on top.
My love on top. 

Baby it's you.
You're the one I love.
You're the one I need.
You're the only thing I see.
Come on baby it's you.
You're the one that gives it all.
You're the one that always calls.
When I need you baby everything stops.
Finally you put my love on top.

Baby you're the one I love.
Baby you're all I need.
You're the only one I see.
Come on baby it's you.
You're the one that gives it all.
You're the one I always call.
When I need you everything stops.
Finally you put my love on top

Baby.
you're the one that I love.
Baby You're the one that I need.
You're the only man I see.
Baby baby it's you.
You're the one that gives it all.
You're the one that always calls.
When I need you everything stops.
Finally you put my love on top

Baby.
you're the one that I love.
Baby You're the one that I need.
You're the only one I see.
Baby baby it's you.
You're the one that gives it all.
You're the one that always calls.
When I need you everything stop.
Finally you put my love on top"
41,usher,climax,R_and_B,"Going nowhere fast
We've reached the climax
We're together, now we're undone
Won't commit so we choose to

Run away, do we separate (oh)
Don't wanna give in
So we both gave up
Can't take it back
It's too late we've reached the climax, climax

I've fallen somehow, feet off the ground
Love is the cloud, that keeps raining down
Where are you now? When I need you around
I'm on my knees but it seems we're

Going nowhere fast
We've reached the climax
We're together, now we're undone
Won't commit so we choose to

Run away, do we separate (oh)
Don't wanna give in
So we both gave up
Can't take it back
It's too late we've reached the climax, climax

I gave my best, it wasn't enough
You kept on saying we argue too much

We made our best of what used to be love
Why do I care, I care at all, at all, at all, at all

Going nowhere fast
We've reached the climax
We're together, now we're undone
Won't commit so we choose to

Run away, do we separate (oh)
Don't wanna give in
So we both gave up
Can't take it back
It's too late we've reached the climax, climax

You say, it's better if we love each other separately
I just need you one more time
I can't get what we had out my mind
Where are you now? When I need you around
I'm on my knees but it seems we're

Going nowhere fast
We've reached the climax
We're together, now we're undone
Won't commit so we choose to

Run away, do we separate (oh)
Don't wanna give in
So we both gave up
Can't take it back
It's too late we've reached the climax, climax"
43,2 chainz featuring drake,no lie,R_and_B,"[2 Chainz]
I am smoking on that gas
Life should be on Cinemax
Movie, bought my boo bigger tits, and a bigger ass
Who he's, not I, I smoke strong, that Popeye
Louie V's in my archives, black diamonds, apartheid
Bread up and my top down
On the block with a block out
Hit ya ass with that block out
Throwin' up that go in ya nostril
I take ya girl and kidnap her
Beat her to my mattress
A skeleton in my closet
It's probably a dead ass rapper
It's probably a pussy ass nigga
Don't try me I pull that trigger
Got ya car note in my cup
And your rent in my swisha
Pussy so good I miss ya
Head game so vicious
And all I get is cheese
Like I'm taking pictures

[Drake]
I say fuck you, 'less I'm wit' ya
If I take you out of the picture
I know real niggas won't miss ya
No lie, no lie, no lie-ee-i-ee-i
No lie, no lie, no lie-ee-i-ee-i
Real nigga say word, he aint never told no lie
He aint never told no lie
Real nigga say word, he aint never told no lie
He aint never told no lie
Real nigga say true
He aint never told no lie
He aint never told no lie
That's a thing I don't do
Nah I just do it for the niggas
That try to see a million 'fore they die
Wattup

[Drake - Verse 2]
2 Chainz and Champagne
You want true, that's true enough
Forbes list like every year
My office is my tour bus
She came through, she brought food
She got fucked, she knew wassup
She think I'm the realest out
And I say ""damn, that makes two of us""
Oh that look like what's her name
Chances are it is what's her name
Chances are, if she was acting up
Then I fucked her once and never fucked again
She could have a Grammy, I still treat her ass like a nominee
Just need to know what that pussy like so one time it's fine with me
Young ass, an intern, but money like I build the shit
Streets talking they'll confirm
Go ask them who just killed this shit
Stay keeping my cup full so I'm extra charged like a state tax
Me and Chainz go way back
We don't talk the talk, we just say facts
Yes Lord

[Chorus:]
I say fuck you, 'less I'm wit' ya
If I take you out of the picture
I know real niggas won't miss ya
No lie, no lie, no lie-ee-i-ee-i
No lie, no lie, no lie-ee-i-ee-i
Real real
Say word, he aint never told no lie
He aint never told no lie
Real, real, say word, he aint never told no lie
He aint never told no lie
Real real, say true
He aint never told no lie
He aint never told no lie
That's a thing I don't do
Nah I just do it for the niggas
That try to see a million 'fore they die
Wattup

[2 Chainz - Verse 2]
Name a nigga that want some
I'll out rap his ass
I'll trap his ass
Put his ass in a plastic bag with his trash ass
Take 'em out, bring 'em in
Them whole things, Tupac without a nose ring
Thug Life, one wife, a mistress and a girlfriend
I did what they say I wouldn't
Went where they say I couldn't (true)
Ysl Belt buckle
Ya'll niggas sure is looking
Ya'll niggas sure is lucky
2 Chainz on my rugby
Left hand on that steering wheel
Right hand on that pussy

[Drake - Chorus]"
44,miguel,adorn,R_and_B,"Yeah, these lips...
Can't wait to taste your skin baby
No, no
And these eyes, yeah
Can't wait to see your grin...
Ooh baby
Just let my love
Just let mu love adorn you
Please baby, yeah
You gotta know x 2
You know
That I adorn you
Yeah baby
Baby these fist...
Will always protect ya lady
And this mind oh,
Will never neglect you,
Yeah baby,
Oh baby
And this thang
Trying to break us down
Don't let that effect us,
No baby
You just got to let
My love...
Let my love x 2
Adorn you
Ahh, le, le, le let it
Just adorn you
You got to know
You got to know
Know that I adorn you
Just that babe
I, oh
Let my love adorn you baby...
Don't you ever
Don't you let no one
Tell you different baby
Always adorn you
You got to know
You got to know x 3
Now yeah..."
